Latitude,Longitude,Timestamp,Weather,Age,Type_of_Vehicle,Accident_Held
11.06,76.8,2006-06-09 05:41:46,Clear,32,Truck,Yes
10.88,77.16,2019-01-28 17:28:02,Stormy,33,Auto-rickshaw,No
11.0,77.05,2024-03-25 01:13:09,Windy,18,Auto-rickshaw,No
10.97,77.07,2022-12-19 19:49:42,Stormy,27,Car,No
10.93,76.81,2003-08-23 19:49:18,Rainy,55,Truck,Yes
11.17,76.9,1993-10-17 06:26:03,Clear,32,Bike,No
10.93,76.95,2015-11-28 15:05:22,Clear,54,Bike,No
10.91,77.14,2014-06-14 22:08:45,Clear,23,Car,No
11.08,76.94,2013-08-27 03:57:47,Rainy,69,Bike,Yes
11.04,76.89,1991-10-03 14:40:44,Rainy,55,Truck,No
10.84,77.06,1992-07-12 00:06:18,Rainy,72,Truck,No
11.19,76.89,1992-08-04 12:28:46,Foggy,42,Car,Yes
11.18,77.18,2006-08-06 07:00:54,Clear,50,Bus,Yes
11.13,76.97,1997-06-27 03:39:18,Windy,50,Car,Yes
10.85,76.87,2000-12-10 01:00:09,Clear,27,Truck,No
10.95,76.94,2009-11-07 20:08:16,Clear,66,Car,No
11.06,76.89,2016-08-14 21:47:38,Foggy,41,Bike,No
10.84,76.93,2024-07-28 22:06:15,Clear,41,Car,Yes
11.15,77.09,2021-02-08 04:41:22,Windy,70,Bus,No
10.89,77.09,2019-10-31 18:06:45,Stormy,72,Truck,No
11.2,76.82,2024-08-05 05:28:13,Stormy,27,Bus,No
11.18,76.96,2015-11-05 03:48:46,Stormy,67,Car,No
11.19,76.99,2022-08-23 06:52:57,Stormy,75,Bus,No
11.19,76.88,1994-12-07 10:24:26,Clear,64,Auto-rickshaw,Yes
11.11,77.16,1991-09-17 00:10:13,Stormy,57,Bike,Yes
11.02,76.81,1994-12-07 10:24:26,Foggy,23,Car,No
11.13,77.01,2006-08-06 07:00:54,Windy,62,Car,No
11.05,77.1,2018-08-16 12:56:44,Windy,44,Bus,Yes
10.89,77.05,2017-05-16 00:20:30,Clear,29,Auto-rickshaw,Yes
10.91,77.03,2007-10-05 23:52:45,Stormy,50,Car,No
10.87,77.0,2015-07-03 11:17:03,Rainy,25,Car,Yes
11.02,76.84,2006-04-29 07:41:34,Stormy,63,Car,Yes
10.98,77.01,2006-03-30 00:35:59,Foggy,75,Car,Yes
11.2,77.19,2007-10-05 23:52:45,Stormy,73,Auto-rickshaw,Yes
11.0,76.87,2023-07-18 11:56:34,Rainy,58,Truck,Yes
11.07,77.18,1999-05-09 02:40:35,Windy,74,Auto-rickshaw,Yes
10.91,77.17,2006-09-29 20:17:37,Foggy,45,Car,Yes
11.15,76.94,2008-08-31 00:57:18,Foggy,54,Bus,Yes
10.83,76.85,2021-06-22 06:21:15,Windy,53,Bus,Yes
11.01,76.88,2004-04-06 23:03:35,Windy,50,Bus,No
11.09,76.97,2023-07-01 08:37:09,Foggy,61,Auto-rickshaw,No
10.89,77.07,2012-04-11 21:44:11,Foggy,21,Auto-rickshaw,No
10.92,76.86,2001-08-10 05:44:02,Clear,45,Bike,No
11.14,76.93,2015-07-03 11:17:03,Windy,73,Bike,Yes
11.12,77.07,2021-08-28 03:16:52,Foggy,23,Car,Yes
10.93,76.92,2024-08-05 05:28:13,Rainy,76,Bus,Yes
10.98,77.2,2002-01-29 10:31:39,Clear,20,Bike,No
10.87,76.92,2014-11-13 02:25:22,Stormy,75,Auto-rickshaw,No
11.02,77.14,1995-05-24 14:29:57,Clear,76,Bus,Yes
11.11,77.11,2021-08-28 03:16:52,Stormy,54,Bike,Yes
